Date,Dividends
DIVIDEND, 19670501,0.002750
DIVIDEND, 19670206,0.002750
DIVIDEND, 19661103,0.002750
DIVIDEND, 19660809,0.002750
DIVIDEND, 19660524,0.002750
SPLIT, 19660518,3:2
DIVIDEND, 19660208,0.002500
DIVIDEND, 19651101,0.002500
DIVIDEND, 19650803,0.002500
DIVIDEND, 19650504,0.002500
DIVIDEND, 19650202,0.002500
DIVIDEND, 19641102,0.002080
DIVIDEND, 19640804,0.002080
DIVIDEND, 19640525,0.002080
SPLIT, 19640518,5:4
DIVIDEND, 19640204,0.001670
DIVIDEND, 19631104,0.001670
DIVIDEND, 19630806,0.001330
DIVIDEND, 19630507,0.001330
DIVIDEND, 19630205,0.001330
DIVIDEND, 19621105,0.001000
DIVIDEND, 19620807,0.001000
DIVIDEND, 19620508,0.001000
DIVIDEND, 19620206,0.001000
STARTDATE, 19620102
ENDDATE, 20110525
TOTALSIZE, 195
STATUS, 0
